IATA_Code,Airport,City
ESU,Essaouira Airport,Essaouira
ESW,State,Cle Elum
ETB,West Bend,West Bend
ETD,Etadunna,
ETE,Genda Wuha,Doka
ETH,Eilat Airport,
ETL,Svetlaya Airport,Svetlaya
ETM,Ramon Airport,
ETN,Municipal,Eastland
ETR,Coronel Artilleria Victor Larrea Airport,Santa Rosa
ETS,Municipal,Enterprise
ETZ,Metz-Nancy-Lorraine Airport,Verny
EUA,Kaufana,`Ohonua
EUC,Eucla,
EUE,Eureka,Eureka
EUF,Weedon Field,Eufaula
EUG,Eugene Airport,Junction City
EUM,Neumuenster,Neumunster
EUN,Hassan I Airport,Laayoune / El Aaiun
EUO,Paratebueno,Paratebueno
EUQ,Evelio Javier,San Pedro
EUX,F D Roosevelt Airport,Oranjestad
EVA,Landing Strip,Evadale
EVD,Eva Downs,
EVE,Harstad/Narvik Airport Evenes,Evenskjer
EVG,Sveg Airport,Sveg
EVH,Evans Head,Evans Head
EVM,Eveleth,Eveleth
EVN,Zvartnots International Airport,Arbat'
EVV,Evansville Regional Airport,Melody Hill
EVW,Evanston,Evanston
EVX,Evreux,Evreux
EWB,New Bedford Airport,New Bedford
EWD,Wildman Lake,
EWE,Ewer,
EWI,Enarotali,Enarotali
EWK,City-County,Newton
EWN,Coastal Carolina Regional Airport,James City
EWO,Ewo,
EWR,Newark Liberty International Airport,Elizabeth
EXI,SPB,
EXM,Exmouth Gulf,
EXT,Exeter International Airport,Topsham
EYA,Zeya Airport,
EYK,Beloyarsky Airport,Beloyarskiy
EYL,Yelimane,Yelimane
EYP,El Yopal Airport,Yopal
EYR,Yerington,Yerington
EYS,Eliye Springs,
EYW,Key West International Airport,Stock Island
EZE,Ministro Pistarini Airport,Ezeiza
EZS,Elazig Airport,Mollakendi
EZV,Berezovo,Berezovo
FAA,Faranah,Faranah
FAB,Farnborough,Farnborough
FAC,Faaite,
FAE,Vagar Airport,Midvagur
FAF,Felker AAF,
FAG,Fagurholsmyri,
FAH,Farah,Farah
FAI,Fairbanks International Airport,
FAJ,Diego Jimenez Torres,Luis M. Cintron
FAK,False Island,
FAL,Falcon State,Nueva Ciudad Guerrero
FAM,Regional,Farmington
FAO,Faro Airport,
FAQ,Freida River,
FAR,Hector International Airport,Oakport
FAS,Faskrudsfjordur,Eskifjoerdur
FAT,Fresno Yosemite International Airport,Sunnyside
FAU,Fahud,
FAV,Fakarava Airport,
FAY,Fayetteville Regional Airport,Hope Mills
FAZ,Fasa,Fasa
FBA,Fonte Boa,
FBD,Faizabad Airport,Fayzabad
FBE,Francisco Beltrao,Francisco Beltrao
FBG,Simmons AAF,Fort Bragg
FBK,Ft Wainwright,
FBL,Municipal,Faribault
FBM,Lubumbashi International Airport,Lubumbashi
FBR,Fort Bridger,Mountain View
FBS,Friday Harbor SPB,
FBY,Municipal,Fairbury
FCA,Glacier Park International Airport,Evergreen
FCB,Ficksburg Sentra Oes,Ficksburg
FCH,Fresno-Chandler,Fresno
FCM,Flying Cloud Airport,
FCN,Cuxhaven/Nordholz,Midlum
FCO,Leonardo da Vinci-Fiumicino Airport,Fiumicino-Isola Sacra
FCS,Butts AAF,Colorado Springs
FCT,Firing Center AAF,
FCY,Municipal,Forrest City
FDE,Bringeland Airport,Sande
FDF,Martinique Aime Cesaire International Airport,Le Lamentin
FDH,Friedrichshafen Airport,Friedrichshafen
FDK,Frederick Municipal,Frederick
FDR,Municipal,Frederick
FDU,Bandundu,Bandundu
FDY,Findlay,Paulding
FEA,Fetlar,
FEB,Sanfebagar,Achham
FEC,Feira De Santana,Feira de Santana
FEG,Fergana Airport,Fergana
FEJ,Feijo,Feijo
FEK,Ferkessedougou,Ferkessedougou
FEL,Fuerstenfeldbruck,Maisach
FEN,Fernando De Noronha Airport,Fernando de Noronha (Distrito Estadual)
FEP,Albertus,Freeport
FES,San Fernando,San Fernando
FET,Municipal,Fremont
FEW,Warren AFB,Cheyenne
FEZ,Fes-Saiss Airport,Oulad Tayeb
FFA,First Flight,Kill Devil Hills
FFD,Fairford RAF Station,Fairford
FFL,Municipal,Fairfield
FFM,Fergus Falls,Fergus Falls
FFO,Patterson AFB,Dayton
FFT,Capital City,Frankfort
FFU,Futaleufu,Futaleufu
FGD,Fderik,
FGI,Fagali I Airport,Apia
FGL,Fox Glacier,
FGR,Fuengirola,Fuengirola
FGU,Fangatau,
FHU,Municipal,Huachuca City
FHZ,Fakahina,
FIC,Fire Cove,
FID,Elizabeth Field,
FIE,Fair Isle,
FIG,Fria,Fria
FIH,N'djili Airport,Masina
FIK,Finke,
FIL,Municipal,Fillmore
FIN,Finschhafen,
FIV,Five Finger,
FIZ,Fitzroy Crossing,
FJR,Al-Fujairah International,Al Fujayrah
FKB,Baden-Airpark,Hugelsheim
FKI,Bangoka International Airport,Kisangani
FKJ,Fukui,Maruoka
FKL,Venango Regional Airport,Franklin
FKN,Municipal,Franklin
FKQ,Fak Fak Airport,Fakfak
FKS,Fukushima Airport,Sukagawa
FLA,Capitolio Airport,Florencia
FLB,Cangapara,Floriano
FLC,Falls Creek,Maryborough
FLD,Fond Du Lac,North Fond du Lac
FLF,Schaferhaus,Harrislee
FLG,Flagstaff Pulliam Airport,Kachina Village
FLH,Flotta,
FLI,Flateyri,
FLJ,Falls Bay,
FLL,Fort Lauderdale-Hollywood International Airport,
FLM,Filadelfia,Filadelfia
FLN,Hercilio Luz International Airport,Carianos
FLO,Florence Airport,Florence
FLP,Flippin,Flippin
FLR,Firenze-Peretola Airport,Sesto Fiorentino
FLS,Flinders Island Airport,Bridport
FLT,Flat,
FLU,Flushing,
FLV,Sherman AAF,Weston
FLW,Santa Cruz Airport,
FLX,Fallon Municipal Airport,
FLY,Finley,
FLZ,Ferdinand Lumban Tobing Airport,Batangtoru
FMA,El Pucu Airport,Formosa
FMC,Five Mile,
FME,Tipton AAF,Laurel
FMG,Flamingo,Sardinal
FMH,Otis AFB,Forestdale
FMI,Kalemie Airport,Kalemie
FMM,Memmingen Allgau Airport,Memmingerberg
FMN,Four Corners Regional Airport,Farmington
FMO,Munster Osnabruck International Airport,Ladbergen
FMS,Municipal,Fort Madison
FMT,Faresmathoda Airport,
FMU,Florence Municipal,Florence
FMY,Page Field,Pine Manor
FNA,Lungi International Airport,Masoyila
FNB,Neubrandenburg,Trollenhagen
FNC,Madeira Airport,Machico
FND,Funadhoo Airport,Funadhoo
FNE,Fane,
FNG,Fada Ngourma,Fada N'gourma
FNH,Fincha,Shambu
FNI,Garons Airport,Garons
FNJ,Pyongyang Sunan International Airport,Sunan
FNK,Fin Creek,
FNL,Municipalcipal Airport,
FNR,SPB,
FNT,Bishop International Airport,Flint
FNU,Fenosu,Palmas Arborea
FOA,Foula,
FOB,Fort Bragg,Fort Bragg
FOC,Changle International Airport,
FOD,Fort Dodge Airport,Fort Dodge
FOE,Forbes Field,
FOG,Gino Lisa,
FOK,Suffolk County,Westhampton
FOM,Foumban,Foumban
FON,Fortuna Airport,Quesada
FOO,Numfoor,Kameri
FOP,Morris AAF,Forest Park
FOR,Pinto Martins Airport,Fortaleza
FOS,Forrest,
FOT,Forster,Dungog
FOU,Fougamou,
FOX,Fox,Salcha
FOY,Foya,Buedu
FPO,Grand Bahama International Airport,Freeport
FPR,St Lucie County,Fort Pierce
FPY,Perry-Foley,Perry
FRA,Frankfurt Airport,Kelsterbach
FRB,Forbes,Forbes
FRC,Franca,Franca
FRD,Friday Harbor Airport,
FRE,Fera Island Airport,
FRG,Republic Field,East Farmingdale
FRH,Municipal,French Lick
FRI,Marshall AAF,Fort Riley North
FRK,Fregate Island,
FRL,Luigi Ridolfi,Forli
FRM,Fairmont,Fairmont
FRN,Bryant AAF,Elmendorf Air Force Base
FRO,Flora Airport,Floro
FRP,Fresh Water Bay,
FRQ,Feramin,
FRR,Front Royal-Warren County,Front Royal
FRS,Santa Elena Airport,Flores
FRT,Frutillar,Frutillar
FRU,Manas International Airport,Bishkek
FRW,Francistown Airport,Francistown
FRY,Fryeburg,Fryeburg
FRZ,Fritzlar Airbase,Fritzlar
FSC,Sud Corse Airport,Bonifacio
FSD,Sioux Falls Regional Airport (Joe Foss Field),Sioux Falls
FSI,Henry Post AAF,
FSK,Municipal,Fort Scott
FSL,Fossil Downs,
FSM,Fort Smith Regional Airport,Barling
FSN,Haley AAF,Buffalo Grove
FSP,Saint Pierre Airport,Saint-Pierre
FSS,Kinloss,Kinloss
FST,Pecos County,Fort Stockton
FSU,Fort Sumner,Fort Sumner
FSZ,Shizuoka Airport,Shimada
FTA,Futuna Airport,
FTE,El Calafate Airport,
FTI,Fitiuta,
FTK,Godman AAF,Fort Knox
FTL,Fortuna Ledge,
FTU,Marillac Airport,Fort Dauphin
FTW,Meacham Field,
FTX,Owando,Owando
FTY,Fulton County,Mableton
FUB,Fulleborn,
FUE,Fuerteventura Airport,Puerto del Rosario
FUG,Fuyang Airport,Fuyang
FUJ,Fukue Airport,Fukuecho
FUK,Fukuoka Airport,Fukuoka-shi
FUL,Municipal,Buena Park
FUM,Fuma,
FUN,Funafuti Atol International Airport,Fakaifou Village
FUO,Fuoshan Airport,Guangzhou
FUT,Futuna Island,Sigave
FVL,Flora Valey,
FVM,Fumawula,Fuvahmulah
FVR,Forrest River Airport,
FWA,Fort Wayne International Airport,Ossian
FWH,Fort Worth NAS Jrb/Carswell Field,
FWL,Farewell,
FWM,Heliport,Fort William
FXE,Fort Lauderdale Executive Airport,Dania Beach
FXM,Flaxman Island,
FXO,Cuamba,Cuamba
FXY,Municipal,Forest City
FYJ,Fuyuan Dongji Airport,Fuyuan
FYM,Municipal,Fayetteville
FYN,Fuyun Koktokay Airport,Kalatongke
FYT,Faya,Faya-Largeau
FYU,Fort Yukon Airport,
FYV,Municipal (Drake Field),Greenland
FZL,Fuzuli International Airport,Fuzuli
FZO,Filton,Almondsbury
GAA,Guamal,Guamal
GAB,Gabbs,
GAC,Gracias,Gracias
GAD,Municipal,Attalla
GAE,Gabès Matmata International Airport,Gabes
GAF,Gafsa,Gafsa
GAG,Gage,Shattuck
GAH,Gayndah,Gayndah
GAI,Montgomery County,Gaithersburg
GAJ,Junmachi Airport,Higashine
GAK,Gakona,
GAL,Edward G. Pitka Sr. Airport,
GAM,Gambell Airport,
GAN,Gan/Seenu Airport,Hithadhoo
GAO,Los Canos Airport,
GAP,Gusap,
GAQ,Gao,Gao
GAR,Garaina,
GAS,Garissa,
GAT,Tallard,Gap
GAU,Lokpriya Gopinath Bordoloi International Airport,Palasbari
GAV,Gag Island,
GAW,Gangaw,Hakha
GAX,Gamba,
GAY,Gaya Airport,Bodh Gaya
GAZ,Guasopa,
GBA,Big Bay,
GBB,Gabala International Airport,Agdas
GBC,Gasuke,
GBD,Great Bend,Great Bend
GBE,Sir Seretse Khama International Airport,Mmopone
GBF,Negarbo,
GBG,Galesburg,Galesburg
GBH,Galbraith Lake,
GBI,Auxiliary Airfield,Lucaya
GBJ,Les Bases,Grand-Bourg
GBK,Gbangbatok,Mogbwemo
GBL,Goulburn Island,
GBM,Garbaharey,Garbahaarrey
GBO,Baltimore Greenbelt T,Catonsville
GBP,Gamboola,
GBR,Walter J. Koladza Airport,Great Barrington
GBS,Port Fitzroy,
GBT,Gorgon Airport,Gorgan
GBU,Khashm El Girba,
GBV,Gibb River,
GBW,Ginbata Airport,
GBZ,Great Barrier Island,Coromandel
GCA,Guacamaya,Gigante
GCC,Campbell County Airport,Gillette
GCD,Grand Coulee Dam,Coulee Dam
GCH,Gachsaran,Dogonbadan
GCI,Guernsey Airport,
GCJ,Grand Central,Germiston
GCK,Garden City Municipal Airport,Garden City
GCM,Owen Roberts International Airport,George Town
GCN,National Park,
GCT,Grand Canyon Bar 10 Airport,
GCV,Gravatai,Gravatai
GCW,Grand Canyon West,Meadview
GCY,Municipal,Greeneville
GDA,Gounda,
GDB,Gondia Airport,Gondia
GDC,Donaldson Center,Mauldin
GDD,Gordon Downs,
GDE,Gode/Iddidole Airport,Yeed
GDG,Magdagachi,Magdagachi
GDH,Golden Horn Lodge SPB,
GDI,Gordil,
GDJ,Gandajika,
GDL,Don Miguel Hidal Y Costilla International Airport,El Quince
GDM,Municipal,Gardner
GDN,Gdansk Lech Walesa Airport,Banino
GDO,Vare Maria,Guasdualito
GDP,Guadalupe,Sao Joao dos Patos
GDQ,Gondar Airport,Gondar
GDR,Angra dos Reis Airport,Angra dos Reis
GDT,Grand Turk Island,
GDV,Dawson Community Airport,West Glendive
GDW,Gladwin,Gladwin
GDX,Magadan Airport,Sokol
GDZ,Gelendzik Airport,Gelendzhik
GEA,Noumea Magenta Airport,Noumea
GEB,Gebe,Petani
GEC,Gecitkale,Lefkonoiko
GED,Sussex County,Georgetown
GEE,George Town,
GEF,Geva Airstrip,
GEG,Spokane International Airport,Airway Heights
GEI,Green Islands,
GEK,Ganes Creek,
GEL,Sepe Tiaraju,Santo Angelo
GEM,President Obiang Nguema International Airport,Mongomo
GEO,Cheddi Jagan International Airport,Vreed-en-Hoop
GER,Rafael Cabrera Airport,
GES,General Santos International Airport,Buayan
GET,Geraldton Airport,Geraldton
GEV,Gallivare Airport,Gaellivare
GEW,Gewoia,
GEX,Geelong,Geelong West
GEY,South Big Horn County,Greybull
GFA,Malmstrom AFB,
GFB,Togiak Fish,
GFD,Pope Field,Greenfield
GFE,Grenfell,Grenfell
GFF,Griffith Airport,Griffith
GFK,Grand Forks International Airport,Grand Forks
GFL,Warren County,Queensbury
GFN,Grafton Airport,South Grafton
GFO,Bartica,
GFR,Granville,Donville-les-Bains
GFY,Grootfontein,Grootfontein
GGB,Água Boa,Mozarlandia
GGC,Lumbala,Zambezi
GGD,Gregory Downs,
GGE,Georgetown,Georgetown
GGF,Almeirim,
GGG,Gregg County Airport,Longview
GGH,Gastão Mesquita Airport,Cianorte
GGJ,Guaíra Airport,Salto del Guaira
GGL,Gilgal,Acandi
GGM,Kakamega Airport,Kakamega
GGN,Gagnoa,Gagnoa
GGO,Guiglo,Guiglo
GGR,Garoe,
GGS,Gobernador Gregores,Gobernador Gregores
GGT,Exuma International Airport,George Town
GGW,Glasgow International Airport,Glasgow
GHA,Noumerate Airport,Ghardaia
GHB,Governor's Harbour Airport,
GHC,Great Harbour,
GHE,Garachine,
GHF,Giebelstadt,Giebelstadt
GHK,Gahcho Kue Aerodrome,
GHM,Municipal,Centerville
GHN,Guanghan,Guang'an
GHS,Melak Airport,
GHT,Ghat,Ghat
GHU,Gualeguaychu,Gualeguaychu
GHV,Brașov-Ghimbav International Airport,
GIB,North Front Airport,Gibraltar
GIC,Boigu Island,
GID,Gitega,Gitega
GIF,Gilbert Field,Inwood
GIG,Galeao Antonio Carlos Jobim International Airport,Duque de Caxias
GII,Siguiri,Siguiri
GIL,Gilgit Airport,Gilgit
GIM,Miele Mimbale,
GIR,Girardot,Girardot City
GIS,Gisborne Airport,Gisborne
GIT,Geita,Geita
GIU,Sigiriya Slaf Base,Sigiriya
GIY,Giyani,Giyani
GIZ,Jazan Regional Airport,Jizan
GJA,Guanaja,Guanaja
GJL,Jijel Ferhat Abbas Airport,Jijel
GJM,Guajara-Mirim,Guajara Mirim
GJR,Gjogur,
GJT,Grand Junction Regional Airport,Fruitvale
GKA,Goroka Airport,
GKD,Gokceada,Gokceada
GKE,Geilenkirchen,Geilenkirchen
GKH,Gorkha,Lamjung
GKK,Kooddoo Airport,
GKL,Great Keppel Island,Yeppoon
GKN,Gulkana,
GKO,Kongoboumba,Booue
GKT,Gatlinburg,Sevierville
GLA,Glasgow International Airport,Inchinnan
GLB,San Calos Apache,
GLC,Geladi,
GLD,Renner Field,Goodland
GLE,Municipal,Gainesville
GLF,Golfito Airport,
GLG,Glengyle,
GLH,Greenville Airport,Metcalfe
GLI,Glen Innes,Glen Innes
GLK,Galcaio,Gaalkacyo
GLL,Klanten Airport,Gol
GLM,Glenormiston,
GLN,Goulimime Airport,Guelmim
GLO,Gloucestershire,Gloucester
GLP,Gulgubip,
GLQ,Glennallen,
GLR,Otsego County,Gaylord
GLS,Scholes Field,Galveston
GLT,Gladstone Airport,
GLU,Gelephu Airport,Sarpang
GLV,Golovin Airport,
GLW,Municipal,Glasgow
GLX,Galela,
GLY,Goldsworthy,
GLZ,Gilze-Rijen,Breda
GMA,Gemena,Gemena
GMB,Gambela Airport,Gambela
GMC,Guerima,Saint Peter Port
GMD,Ben Slimane,Bouznika
GME,Gomel Airport,Gomel
GMI,Gasmata Island,
GMM,Gamboma,Gamboma
GMN,Greymouth,Greymouth
GMO,Gombe Lawanti International Airport,Akko
GMP,Gimpo International Airport,Bucheon-si
GMQ,Golog Maqin Airport,Dawu
GMR,Gambier Island,
GMS,Guimaraes,Bequimao
GMT,Granite Mountain,
GMU,Greenville Downtown,Greenville
GMV,Monument Valley,
GMZ,La Gomera Airport,Alajero
GNA,Grodno Airport,Hrodna
GNB,Grenoble-Isere Airport,Saint-Etienne-de-Saint-Geoirs
GND,Maurice Bishop International Airport,Saint George's
GNF,Gansner Field,Charleston
GNG,Gooding,Gooding
GNI,Green Island,Taitung
GNJ,Ganja International Airport,Ganja
GNM,Guanambi,Guanambi
GNN,Ghinnir,Ginir
GNR,General Roca,Sierra Colorada
GNS,Gunungsitoli Airport,
GNT,Milan,Grants
GNU,Goodnews Bay,
GNV,Gainesville Regional Airport,Gainesville
GNY,Sanliurfa GAP Airport,
GNZ,Ghanzi,Ghanzi
GOA,Genoa Cristoforo Colombo Airport,San Teodoro
GOB,Goba,
GOC,Gora,
GOE,Gonalia,
GOF,Goodfellow AFB,
GOG,Gobabis,
GOH,Nuuk Airport,Nuuk
GOI,Dabolim Airport,Chicalim
GOJ,Nizhny Novgorod International Airport,Gorbatovka
GOK,Guthrie,Guthrie
GOL,State,Gold Beach
GOM,Goma Airport,Goma
GON,New London,Long Hill
GOO,Goondiwindi,Goondiwindi
GOP,Gorakhpur Airport,Gorakhpur
GOQ,Golmud Airport,Guolemude
GOR,Gore,Gore
GOS,Gosford,East Gosford
GOT,Goteborg Landvetter Airport,Landvetter
GOU,Garoua Airport,Garoua
GOV,Nhulunbuy Airport,
GOX,Mopa Airport,Mopa
GOY,Tura Airport,
GOZ,Gorna Oriahovitsa,Gorna Oryakhovitsa
GPA,Araxos Airport,Patra
GPB,Tancredo Thomaz Faria,Guarapuava
GPD,Mount Gordon Mine,
GPI,Guapi Airport,
GPL,Guapiles,Guapiles
GPN,Garden Point,Nightcliff
GPO,General Pico,General Pico
GPS,Baltra Airport,Puerto Ayora
GPT,Gulfport-Biloxi International Airport,West Gulfport
GPZ,Grand Rapids,Grand Rapids
GQQ,Galion,Galion
GRA,Gamarra,Gamarra
GRB,Austin Straubel International Airport,Ashwaubenon
GRC,Grand Cess,
GRD,Greenwood,Greenwood
GRE,Municipal,Greenville
GRF,Gray AAF,Fort Lewis
GRG,Gardez,Gardez
GRH,Garuahi,
GRI,Grand Island Airport,Grand Island
GRJ,George Airport,George
GRK,Robert Gray Army Airfield,Fort Hood
GRL,Garasa,
GRM,Devils Track,Newberry
GRN,Gordon,Gordon
GRO,Girona-Costa Brava Airport,Vilobi d'Onyar
GRP,Gurupi,
GRQ,Eelde Airport,Vries
GRR,Gerald R. Ford International Airport,Forest Hills
GRS,Baccarini,Grosseto
GRT,Gujrat,Lala Musa
GRU,Sao Paulo-Guarulhos International Airport,Guarulhos
GRV,Groznyy Airport,Staraya Sunzha
GRW,Graciosa Island Airport,Lagoa
GRX,Granada Airport,Chauchina
GRY,Grimsey,Dalvik
GRZ,Graz Airport,Feldkirchen bei Graz
GSA,Long Pasia,Kayan Hulu
GSB,Seymour Johnson AFB,Goldsboro
GSC,Gascoyne Junction,
GSE,Gothenburg City Airport,Majorna
GSH,Goshen,Goshen
GSI,Guadalcanal,
GSJ,Puerto San Jose,Puerto San Jose
GSL,Taltheilei Narrows,
GSM,Dayrestan Airport,Bandar-e Khamir
GSN,Mount Gunson,
GSO,Piedmont Triad International Airport,Oak Ridge
GSP,Greenville-Spartanburg International Airport,Greer
GSQ,Shark Elowainat,
GSR,Gardo,
GSS,Sabi Sabi,Graksop
GST,Gustavus Airport,
GSU,Gedaref,Al Qadarif
GSV,Saratov Gagarin Airport,Shumeyka
GSY,Binbrook,Grimsby
GTA,Gatokae Aerodrom,
GTB,Genting,
GTC,Green Turtle,Hard Bargain
GTE,Alyangula Airport,
GTF,Great Falls International Airport,Great Falls
GTG,Municipal,Grantsburg
GTI,Guettin,Ostseebad Dierhagen
GTK,Sungei Tekai,Segamat
GTN,Glentanner,
GTO,Tolotio Airport,Isimu
GTP,Grants Pass,Merlin
GTR,Golden Triangle Regional Airport,West Point
GTS,Granites,
GTT,Georgetown Airport,Georgetown
GTW,Holesov,Otrokovice
GTY,Gettysburg,Gettysburg
GTZ,Kirawira B,Issenye
GUA,La Aurora International Airport,Santa Catarina Pinula
GUB,Guerrero Negro,San Luis
GUC,Gunnison Airport,Gunnison
GUD,Goundam,Goundam
GUE,Guriaso,
GUF,Edwards,Orange Beach
GUG,Guari,
GUH,Gunnedah,Gunnedah
GUI,Guiria,Gueiria
GUJ,Guaratingueta,Guaratingueta
GUL,Goulburn,Goulburn
GUM,A.B. Won Pat International Airport,Tamuning-Tumon-Harmon Village
GUN,Gunter AFB,
GUO,Gualaco,Gualaco
GUP,Senator Clark,Gallup
GUQ,Guanare,Guanare
GUR,Gurney Airport,
GUS,Grissom AFB,Peru
GUT,Guetersloh,
GUU,Grundarfjordur,
GUV,Mougulu,
GUW,Atyrau Airport,Atyrau
GUX,Guna,Guna
GUY,Guymon,Guymon
GUZ,Guarapari,Guarapari
GVA,Geneve Airport,Les Avanchets
GVE,Municipal,Gordonsville
GVI,Green River,
GVL,Lee Gilmer Memorial,Gainesville
GVN,May-Gatka,Mayskiy
GVP,Greenvale,
GVR,Governador Valadares Airport,Governador Valadares
GVT,Majors Field,Greenville
GVW,Richards-Gebaur,Grandview
GVX,Sandviken,Valbo
GWA,Gwa,
GWD,Gwadar Airport,Gwadar
GWE,Gweru,Gweru
GWL,Gwalior Airport,Morar
GWN,Gnarowein,
GWO,Leflore,Greenwood
GWS,Glenwood Springs,
GWT,Westerland - Sylt Airport,Tinnum
GWV,Glendale,Glendale
GWY,Carnmore,Gaillimh
GXA,Beringin Airport,
GXF,Seiyun,Al Hamdi
GXG,Negage,Camabatela
GXH,Gannan Xiahe Airport,Nawu
GXM,Kuala Kurun,
GXQ,Ten. Vidal,Coihaique
GXX,Yagoua,Yagoua
GXY,Weld County,Greeley
GYA,Guayaramerin Airport,Guayaramerin
GYB,Wodgina Airport,Wodgina
GYD,Heydar Aliyev International Airport,Yeni Suraxani
GYE,Jose Joaquin de Olmedo Airport,Eloy Alfaro
GYG,Magan Airport,Magan
GYI,Gisenyi,Gisenyi
GYL,Argyle,
GYM,Gen Jose M Yanez,Heroica Guaymas
GYN,Santa Genoveva Airport,Goiania
GYO,Bandar Udara Senubung,Blangkejeren
GYP,Gympie,Gympie
GYR,Litchfield,Avondale
GYS,Guang Yuan Airport,Guangyuan
GYU,Guyuan Liupanshan Airport,Shirak
GYY,Gary/Chicago International,East Chicago
GYZ,Gruyere Mine Airport,
GZA,Gaza - Yaser Arafat International Airport,Shukat as Sufi
GZG,Garze Gesar Airport,Ganzi
GZI,Ghazni,Khayr Kot
GZM,Gozo Heliport,Saint Lucia
GZO,Gizo Airport,
GZP,Gazipasa Airport,Gazipasa
GZT,Gaziantep Airport,Oguzeli
GZW,Ghazvin,Qazvin
HAA,Hasvik Airport,Breivikbotn
HAB,Marion County,Hamilton
HAC,Hachijo Jima Airport,
HAD,Halmstad Airport,Halmstad
HAE,Havasupai,
HAF,Half Moon,Half Moon Bay
HAH,Prince Said Ibrahim Internatonal Airport,
HAI,Dr Haines,Three Rivers
HAJ,Hannover Airport,Langenhagen
HAK,Haikou Airport,
HAL,Halali,
HAM,Hamburg Airport,Fuhlsbuettel
HAN,Noi Bai International Airport,Soc Son
HAO,Hamilton,Hamilton
HAP,Long Island,
HAQ,Hanimaadhoo Airport,Dhidhdhoo
HAR,Capital City,Steelton
HAS,Hail Airport,Hayil
HAT,Heathlands,
HAU,Haugesund Airport,Vedavagen
HAV,Jose Marti International Airport,Boyeros
HAW,Haverfordwest,Haverfordwest
HAX,Hatbox Field,
HAY,Haycock,
HAZ,Hatzfeldthaven,
HBA,Hobart International Airport,Seven Mile Beach
HBB,Industrial Airpark,
HBC,Hanus Bay,
HBD,Habi,
HBE,Borg El Arab Airport,Alexandria
HBG,The Hattiesburg-Bobby L. Chain Mun.,Hattiesburg
HBH,Hobart Bay,
HBI,Harbour Island,Dunmore Town
HBK,Holbrook Municipal,Holbrook
HBN,Flamingo,Tan Bien
HBO,Municipal,Pawnee City
HBQ,Qilian Airport,Hongtu
HBR,Hobart,Hobart
HBT,Hafr Albatin,
HBU,Bulgan Hovd,Burenhayrhan
HBX,Hubli Airport,Hubli
HCA,Howard County,Big Spring
HCB,Shoal Cove,
HCC,Columbia County,Stottville
HCJ,Hechi Jinchengjiang Airport,Nandan Chengguanzhen
HCM,Eil,Eyl
HCN,Hengchun,
HCQ,Halls Creek,
HCR,Holy Cross Airport,
HCW,Cheraw,Cheraw
HCZ,Chenzhou Beihu Airport,Chenzhou
HDA,Hidden Falls,
HDB,Airfield Heidelberg,Heidelberg
HDD,Hyderabad,Kotri
HDE,Brewster Field,Holdrege
HDF,Heringsdorf Airport,Seebad Heringsdorf
HDG,Handan Airport,Handan
HDH,Dillingham Airfield,Mililani Town
HDK,Kulhudhuffushi Airport,Kulhudhuffushi
HDM,Hamadan Airport,Hamadan
HDN,Yampa Valley Airport,Hayden
HDO,Hindon Airport,Ghaziabad
HDR,Havadarya,Qeshm
HDS,Hoedspruit Airport,Hoedspruit
HDY,Hat Yai International Airport,Khlong Hoi Khong
HEA,Herat International Airport,Guzarah
HEB,Henzada,Hinthada
HED,Herendeen,
HEE,Thompson-Robbins,Helena
HEH,Heho Airport,
HEI,Heide-Buesum,Oesterdeichstrich
HEK,Heihe Airport,Xinfu
HEL,Helsinki-Vantaa Airport,
HEM,Helsinki-malmi,
HEN,Hendon,Hendon
HEO,Haelogo,
HER,Heraklion Airport,Nea Alikarnassos
HES,State,Hermiston
HET,Hohhot Baita International Airport,Haoxinying
HEV,Huelva,Huelva
HEW,Hengdian Airport,Nanshi
HEX,Santo Domingo Herrera,
HEY,Hanchey Army Heliport,Morgan
HEZ,Hardy-Anders,Morgantown
HFA,Haifa Airport,Qiryat Mozqin
HFD,Brainard,Wethersfield
HFE,Hefei Xinqiao Airport,
HFF,Mackall AAF,Pinebluff
HFN,Hornafjordur,Hoefn
HFS,Hagfors Airport,Hagfors
HFT,Hammerfest Airport,Hammerfest
HGA,Hargeisa Airport,Hargeysa
HGD,Hughenden,
HGE,Higuerote Airport,Higuerote
HGH,Hangzhou Xiaoshan International Airport,
HGI,Higlieg,Abu Jibeha
HGL,Helgoland,Helgoland
HGN,Mae Hong Son Airport,Mae Hong Son
HGO,Korhogo Airport,Korhogo
HGR,Wash. County Regional Airport,State Line
HGS,Hastings,Hastings
HGT,Hunter AAF,
HGU,Mount Hagen Airport,Mount Hagen
HGZ,Hogatza,
HHE,Hachinohe,Uchimaru
HHH,Hilton Head Airport,Hilton Head Island
HHI,Wheeler AFB,Wahiawa
HHN,Frankfurt - Hahn Airport,Lautzenhausen
HHP,H K Heliport,
HHQ,Hua Hin Airport,Hua Hin
HHR,Hawthorne,Hawthorne
HHZ,Hikueru,
HIA,Huai'an Lianshui Airport,Huai'an
HIB,Chisholm Airport,Hibbing
HID,Horn Island Airport,
HIE,Regional,Whitefield
HIF,Hill AFB,Ogden
HIG,Highbury,
HIH,Hook Island,
HII,Municipal,Desert Hills
HIJ,Hiroshima Airport,Takehara
HIK,Hickam AFB,Honolulu
